component	chapter	code	kind	preferred	description	inclusions	exclusions	depth
D	B	BD66	otherDiagnosis	Iron deficiency anaemia	Decrease in haemoglobin or haematocrit below levels appropriate for age and sex; plus evidence of blood loss, or microcytic hypochromic red cells by appearance or indices in the absence of thalassaemia, or decreased serum iron and increased iron-binding capacity, or decreased serum ferritin, or reduced haemosiderin in bone marrow, or good response to iron administration.	anaemia due to blood loss	iron deficiency without anaemia TD74	0
D	B	BD67	otherDiagnosis	Vitamin B12 anaemia or folate deficiency anaemia	Macrocytic anaemia by smear/indices plus decreased vitamin B12/folate level/positive Schilling test.		vitamin B12 deficiency without anaemia TD73	0
D	B	BD67.00	otherDiagnosis	Folate deficiency anaemia				1
D	B	BD67.01	otherDiagnosis	Megaloblastic anaemia due to vitamin B12 deficiency	A disease caused by inadequate dietary intake of vitamin B12, impaired absorption of vitamin B12, surgical removal of the small bowel, coeliac disease or inherited mutations affecting absorption of vitamin B12. Vitamin B12 deficiency is characterised by decreased levels of vitamin B12 in the body presenting with or without anaemia. The disease may present with fatigue, pallor, dizziness, seizures, or symptoms of dementia. Confirmation is by identification of decreased levels of vitamin B12 in a blood sample.	pernicious anaemia	vitamin B12 deficiency without anaemia TD73	1
D	B	BD77	otherDiagnosis	Other specified and unknown anaemias		acquired haemolytic anaemia;aplastic anaemia;blood autoimmune disease;megaloblastic anaemia NOS;protein deficiency anaemia;unknown anaemia	anaemia of pregnancy WD84;iron deficiency anaemia BD66;vit B12 anaemia or folate deficiency anaemia BD67	0
D	B	BD77.00	otherDiagnosis	Severe anaemia				1
D	B	BD78	otherDiagnosis	Coagulation defect		abnormal platelets;haemophilia;purpura;thrombocytopenia		0
D	B	BD78.00	otherDiagnosis	Hereditary factor VIII deficiency	A disease caused by a genetically inherited mutation leading to a deficiency in clotting due to lack of factor VIII. This disease is characterised by increasing haemorrhaging and bruising. Confirmation is by identification of mutations by genetic testing.			1
D	B	BD78.01	otherDiagnosis	Hereditary factor IX deficiency	A disease caused by a genetically inherited X-linked recessive trait leading to a defective gene located on the X chromosome. This disease is characterised by low levels of the protein factor IX in the body leading to increased haemorrhaging and bruising due to clotting abnormalities. Confirmation is by identification of recessive trait by genetic testing.			1
D	B	BD78.02	otherDiagnosis	Immune thrombocytopenic purpura	Immune thrombocytopenic purpura (or immune thrombocytopenia; ITP) is an autoimmune coagulation disorder characterised by isolated thrombocytopenia (a platelet count less than 100,000/microL), in the absence of any underlying disorder that may be associated with thrombocytopenia.			1
D	B	BD78.03	otherDiagnosis	Thrombophilia	A disease caused by determinants arising after birth or genetically inherited factors leading to abnormalities in blood. This disease is characterised by abnormality of blood coagulation that increases the risk of thrombosis, clots in blood vessels. This disease may present with deep vein thrombosis or pulmonary embolism. Confirmation is identification of abnormal blood coagulation in a blood sample.			1
D	B	BD99	otherDiagnosis	Other specified or unknown blood, blood-forming organs, immune system diagnoses or diseases		defects in complement system;hypersplenism;other haematological abnormality;secondary polycythaemia	asymptomatic HIV infection BD03;lymphadenitis acute BD01;lymphadenitis chronic/non-specific BD02;lymphoedema KD99;primary inherited erythrocytosis KD99;primary polycythemia BD26;symptomatic HIV infection BD04	0
D	B	BD99.00	otherDiagnosis	Immunodeficiency				1
D	B	BD99.01	otherDiagnosis	Sarcoidosis	Sarcoidosis is a multisystem disorder of unknown cause characterised by the formation of immune granulomas in involved organs. The lung and the lymphatic system are predominantly affected, but virtually every organ may be involved. Other severe manifestations result from cardiac, neurological, ocular, kidney or laryngeal localizations.			1
S	B	BS01	symptom	Lymph gland(s) symptom or complaint	Enlarged and/or painful lymph nodes Enlarged lymph nodes are called lymphadenopathy when there is an abnormal enlargement of lymph nodes.	generalised enlarged lymph nodes;localised enlarged lymph nodes;lymphadenopathy with pain;lymphadenopathy without pain	acute lymphadenitis BD01;lymphadenitis, other specified BD02	0
S	B	BS50	clinicalFinding	Splenomegaly	Splenomegaly is an enlargement of the spleen beyond its normal size.		hypersplenism BD99;hepatomegaly with splenomegaly DS50;splenomegaly with hepatomegaly DS50	0
S	B	BS51	clinicalFinding	Unexplained changes in white blood cells	Unexplained changes in, or abnormal count of white blood cells.	persistent or unexplained neutrophilia;unexplained agranulocytosis;unexplained eosinophilia;unexplained leukocytosis;unexplained lymphocytosis;unexplained neutropenia	leukaemia BD25	0
S	B	BS52	clinicalFinding	Elevated erythrocyte sedimentation rate		red blood cell abnormality	unexplained changes in white blood cell BS51	0
S	B	BS90	complaint	Concern or fear of disease of blood, blood-forming organs and immune system	Concern about or fear of other blood or immune system disease in a patient without actually having the disease, until the diagnosis is proven.			0
S	B	BS99	symptom	Other specified symptoms, complaints or abnormal findings of blood, blood-forming organs and immune system			splenomegaly BS50	0
S	C	CSV	extension	Consent Scale Value	The Consent Scale Value (CSV) is used by a patient or client to express the level of agreement concerning Personality Functions (2R3). Without these values, the Personality Functions have no specific meaning.			0
S	C	CSV.0	extensionCode	NEUTRAL				1
S	C	CSV.1	extensionCode	MODERATELY disagree				1
S	C	CSV.1+	extensionCode	MODERATELY agree				1
S	C	CSV.2	extensionCode	COMPLETELY disagree				1
S	C	CSV.2+	extensionCode	COMPLETELY agree				1
D	D	DD01	infection	Gastrointestinal infection		gastrointestinal infection or dysentery due to Clostridium difficile;gastrointestinal infection or dysentery due to norovirus;gastrointestinal infection or dysentery due to rotavirus	contact with or carrier of infective or parasitic disease AD99;gastroenteritis presumed infection DD05	0
D	D	DD01.00	category	Amoebiasis	Dysentery caused by intestinal amoebic infection, chiefly with entamoeba histolytica. This condition may be associated with amoebic infection of the liver and other distant sites.			1
D	D	DD01.01	infection	Campylobacter				1
D	D	DD01.02	category	Giardia	A condition caused by an infection with the protozoan parasite Giardia. This condition is characterised by gastroenteritis, or may be asymptomatic. Transmission is by the faecal-oral route from the ingestion of contaminated food or water. Confirmation is by identification of Giardia in a faecal sample.			1
D	D	DD01.03	infection	Salmonellosis				1
D	D	DD01.04	infection	Shigella	A disease caused by an infection with the gram-negative bacteria genus Shigella. This disease is characterised by an acute onset of small volume diarrhoea, accompanied by fever and nausea. This disease may also present with toxaemia, vomiting, cramps, and tenesmus. Transmission is by ingestion of contaminated food, or direct contact. Confirmation is by identification of Shigella in a faecal sample.			1
D	D	DD01.05	infection	Typhoid	1. Typhoïd. A condition caused by an infection with the gram-negative bacteria Salmonella typhi. This condition is characterised by an acute sustained fever. This condition may present with weakness, stomach pains, headache, loss of appetite, or flat, rose-coloured spots. Transmission is by the faecal-oral route from the ingestion of contaminated food or water. Confirmation is by identification of Salmonella typhi in a faecal or blood sample. Paratyphoïd fever. A condition caused by an infection with the gram-negative bacteria Salmonella paratyphi. This condition is characterised by an acute sustained fever. The individual may feel weak, have stomach pains, headache, loss of appetite, or a rash of flat, rose-coloured spots. Transmission is by ingestion of contaminated food or water. Confirmation is by identification of Salmonella paratyphi in a faecal or blood sample.	paratyphoid fever		1
D	D	DD01.06	infection	Yersinia enterocolitica	A disease of the intestinal tract, caused by an infection with the gram-negative bacteria Yersinia enterocolitica. This disease commonly presents with a fever, diarrhoea, or abdominal pain. This disease may also lead to a systemic infection. Transmission is by the faecal-oral route from the ingestion of contaminated food or water, or direct contact with infected individuals or animal. Confirmation is by identification of Yersinia enterocolitica in a faecal sample.			1
D	D	DD01.07	infection	Cholera	An acute diarrheal disease endemic whose causative agent is vibrio cholerae. This condition can lead to severe dehydration in a matter of hours unless quickly treated.			1
